Company,Role Title,Segment / Industry,Location,Direct Job Link,Fit Flag,Notes
"Coinbase","Content Strategy Program Lead","","Remote","https://www.coinbase.com/careers/positions/7268200?gh_jid=7268200","✅ Strong Fit","remote-first • ≤60d • GH"
"Coinbase","Director, Product Management - Platform Infrastructure","","Remote","https://www.coinbase.com/careers/positions/7032070?gh_jid=7032070","✅ Strong Fit","remote-first • ≤60d • GH"
"Coinbase","Group Product Manager, P2P Payments","","Remote","https://www.coinbase.com/careers/positions/6781439?gh_jid=6781439","⚠️ Stretch","remote-first • ≤60d • GH"
"Coinbase","Group Product Manager, P2P Payments","","Remote","https://www.coinbase.com/careers/positions/7289493?gh_jid=7289493","⚠️ Stretch","remote-first • ≤60d • GH"
"Coinbase","Product Manager II","","Remote","https://www.coinbase.com/careers/positions/7273896?gh_jid=7273896","⚠️ Stretch","remote-first • ≤60d • GH"
"Coinbase","Product Manager II - AI Automation","","Remote","https://www.coinbase.com/careers/positions/6704837?gh_jid=6704837","⚠️ Stretch","remote-first • ≤60d • GH"
"Coinbase","Product Manager II - Coinbase Business","","Remote","https://www.coinbase.com/careers/positions/7274215?gh_jid=7274215","⚠️ Stretch","remote-first • ≤60d • GH"
"Coinbase","Product Manager II - Coinbase Business","","Remote","https://www.coinbase.com/careers/positions/7274223?gh_jid=7274223","⚠️ Stretch","remote-first • ≤60d • GH"
"Coinbase","Product Manager II - Core Infrastructure","","Remote","https://www.coinbase.com/careers/positions/5957003?gh_jid=5957003","⚠️ Stretch","remote-first • ≤60d • GH"
"Coinbase","Product Manager II, Derivatives","","Remote","https://www.coinbase.com/careers/positions/7144452?gh_jid=7144452","⚠️ Stretch","remote-first • ≤60d • GH"
"Coinbase","Product Manager II, Latam","","Remote","https://www.coinbase.com/careers/positions/6648177?gh_jid=6648177","⚠️ Stretch","remote-first • ≤60d • GH"
"Coinbase","Product Manager I - Martech & SEO (Consumer Growth)","","Remote","https://www.coinbase.com/careers/positions/7121952?gh_jid=7121952","⚠️ Stretch","remote-first • ≤60d • GH"
"Coinbase","Product Manager I - Martech & SEO (Consumer Growth)","","Remote","https://www.coinbase.com/careers/positions/7121821?gh_jid=7121821","⚠️ Stretch","remote-first • ≤60d • GH"
"Coinbase","Product Manager I - Prime Trading","","Remote","https://www.coinbase.com/careers/positions/5956962?gh_jid=5956962","⚠️ Stretch","remote-first • ≤60d • GH"
"Coinbase","Product Manager I - Prime Trading ","","Remote","https://www.coinbase.com/careers/positions/7126103?gh_jid=7126103","⚠️ Stretch","remote-first • ≤60d • GH"
"Coinbase","Product Manager I - Retail Staking","","Remote","https://www.coinbase.com/careers/positions/7301924?gh_jid=7301924","⚠️ Stretch","remote-first • ≤60d • GH"
"Coinbase","Product Manager I - Retail Staking","","Remote","https://www.coinbase.com/careers/positions/7179408?gh_jid=7179408","⚠️ Stretch","remote-first • ≤60d • GH"
"Coinbase","Senior Manager, Base Ecosystem","","Remote","https://www.coinbase.com/careers/positions/7236346?gh_jid=7236346","✅ Strong Fit","remote-first • ≤60d • GH"
"Coinbase","Senior Product Manager - Consumer Trading (Coinbase Advanced)","","Remote","https://www.coinbase.com/careers/positions/6563927?gh_jid=6563927","✅ Strong Fit","remote-first • ≤60d • GH"
"Coinbase","Senior Product Manager - Consumer Trading (Coinbase Advanced)","","Remote","https://www.coinbase.com/careers/positions/6989011?gh_jid=6989011","✅ Strong Fit","remote-first • ≤60d • GH"
"Coinbase","Senior Product Manager - Defi Lend ","","Remote","https://www.coinbase.com/careers/positions/6951225?gh_jid=6951225","✅ Strong Fit","remote-first • ≤60d • GH"
"Coinbase","Senior Product Manager - Risk and Fraud","","Remote","https://www.coinbase.com/careers/positions/6993372?gh_jid=6993372","✅ Strong Fit","remote-first • ≤60d • GH"
"Coinbase","Senior Product Manager - Staking Platform","","Remote","https://www.coinbase.com/careers/positions/7102221?gh_jid=7102221","✅ Strong Fit","remote-first • ≤60d • GH"
"Gemini","Lead Product Manager, Exchange Growth (Fraud)","","NYC","https://boards.greenhouse.io/embed/job_app?for=gemini&token=7187687&gh_jid=7187687","✅ Strong Fit","NYC • ≤60d • GH"
"Fireblocks","Corporate Development & Strategy Senior Associate","","NYC","https://job-boards.greenhouse.io/fireblocks/jobs/4592855006","✅ Strong Fit","NYC • ≤60d • GH"
"Fireblocks","Product Marketing Director","","London","https://job-boards.greenhouse.io/fireblocks/jobs/4430296006","⚠️ Stretch","London • ≤60d • GH"
"Fireblocks","Product Marketing Director, Banking","","United States","https://job-boards.greenhouse.io/fireblocks/jobs/4601120006","⚠️ Stretch","United States • ≤60d • GH"
"Fireblocks"," Product Marketing Director, Payments","","United States","https://job-boards.greenhouse.io/fireblocks/jobs/4569313006","⚠️ Stretch","United States • ≤60d • GH"
"Fireblocks"," Web Strategy Director","","NYC","https://job-boards.greenhouse.io/fireblocks/jobs/4597848006","✅ Strong Fit","NYC • ≤60d • GH"
"Aptos Labs","Director Product Management OMS","","Remote","https://www.aptos.com/jobs?gh_jid=7172524","✅ Strong Fit","remote-first • ≤60d • GH"
"Ripple","Director, Ecosystem Growth","","San Francisco, CA, United States","https://ripple.com/careers/all-jobs/job/7084083?gh_jid=7084083","⚠️ Stretch","San Francisco, CA, United States • ≤60d • GH"
"Ripple","Director, Ecosystem Growth","","NYC","https://ripple.com/careers/all-jobs/job/7084095?gh_jid=7084095","✅ Strong Fit","NYC • ≤60d • GH"
"Ripple","Lead Product Manager, Payments Network","","Toronto, Canada","https://ripple.com/careers/all-jobs/job/7060230?gh_jid=7060230","⚠️ Stretch","Toronto, Canada • ≤60d • GH"
"Ripple","Lead Product Manager, Payments Network","","NYC","https://ripple.com/careers/all-jobs/job/7060220?gh_jid=7060220","✅ Strong Fit","NYC • ≤60d • GH"
"Ripple","Product Manager, Stablecoin","","NYC","https://ripple.com/careers/all-jobs/job/7187341?gh_jid=7187341","⚠️ Stretch","NYC • ≤60d • GH"
"Ripple","Product Marketing Lead","","NYC","https://ripple.com/careers/all-jobs/job/7234977?gh_jid=7234977","✅ Strong Fit","NYC • ≤60d • GH"
"Ripple","Product Marketing Lead","","London, UK","https://ripple.com/careers/all-jobs/job/7271357?gh_jid=7271357","⚠️ Stretch","London, UK • ≤60d • GH"
"Ripple","Senior Ecosystem Growth Manager","","London, UK","https://ripple.com/careers/all-jobs/job/7089493?gh_jid=7089493","⚠️ Stretch","London, UK • ≤60d • GH"
"Okta","Corporate Strategy Manager","Ecosystem/Partnerships","San Francisco, California","https://www.okta.com/company/careers/opportunity/7103904?gh_jid=7103904","⚠️ Stretch","San Francisco, California • ≤60d • GH"
"Okta","Creative Strategy Manager","Ecosystem/Partnerships","Bellevue, Washington; Chicago, Illinois; Toronto, Ontario, Canada","https://www.okta.com/company/careers/opportunity/7284316?gh_jid=7284316","⚠️ Stretch","Bellevue, Washington; Chicago, Illinois; Toronto, Ontario, Canada • ≤60d • GH"
"Okta","Director, GTM AI Strategy and Operations","Ecosystem/Partnerships","San Francisco, California","https://www.okta.com/company/careers/opportunity/7276774?gh_jid=7276774","⚠️ Stretch","San Francisco, California • ≤60d • GH"
"Okta","Director, Marketing AI Strategy","Ecosystem/Partnerships","Bellevue, Washington; San Francisco, California","https://www.okta.com/company/careers/opportunity/7220078?gh_jid=7220078","⚠️ Stretch","Bellevue, Washington; San Francisco, California • ≤60d • GH"
"Okta","Director, Marketing Strategy & Planning Global Demand Generation","Ecosystem/Partnerships","Bellevue, Washington; San Francisco, California","https://www.okta.com/company/careers/opportunity/6816669?gh_jid=6816669","⚠️ Stretch","Bellevue, Washington; San Francisco, California • ≤60d • GH"
"Okta","Director, Product Management - Auth0 AI Products","Ecosystem/Partnerships","San Francisco, California","https://www.okta.com/company/careers/opportunity/7248867?gh_jid=7248867","⚠️ Stretch","San Francisco, California • ≤60d • GH"
"Okta","Group Manager, Pricing Analytics & Strategy","Ecosystem/Partnerships","Bellevue, Washington; San Francisco, California","https://www.okta.com/company/careers/opportunity/7296961?gh_jid=7296961","⚠️ Stretch","Bellevue, Washington; San Francisco, California • ≤60d • GH"
"Okta","Lead, Field AI Strategy","Ecosystem/Partnerships","NYC","https://www.okta.com/company/careers/opportunity/7278204?gh_jid=7278204","✅ Strong Fit","NYC • ≤60d • GH"
"Okta","Principal Product Manager - Infrastructure and Operations","Ecosystem/Partnerships","Bellevue, Washington; Chicago, Illinois; San Francisco, California; Washington, DC","https://www.okta.com/company/careers/opportunity/7253992?gh_jid=7253992","⚠️ Stretch","Bellevue, Washington; Chicago, Illinois; San Francisco, California; Washington, DC • ≤60d • GH"
"Okta","Principal Product Manager - People Technologies","Ecosystem/Partnerships","San Francisco, California","https://www.okta.com/company/careers/opportunity/7001998?gh_jid=7001998","⚠️ Stretch","San Francisco, California • ≤60d • GH"
"Okta","Principal Product Marketing Manager, Auth0 (AI)","Ecosystem/Partnerships","Bellevue, Washington; Chicago, Illinois; Toronto, Ontario, Canada","https://www.okta.com/company/careers/opportunity/7227177?gh_jid=7227177","⚠️ Stretch","Bellevue, Washington; Chicago, Illinois; Toronto, Ontario, Canada • ≤60d • GH"
"Okta","Product Manager, Auth0","Ecosystem/Partnerships","Spain","https://www.okta.com/company/careers/opportunity/7066214?gh_jid=7066214","⚠️ Stretch","Spain • ≤60d • GH"
"Okta","Senior Manager, Marketing Automation and Strategy","Ecosystem/Partnerships","Bellevue, Washington; Chicago, Illinois; Toronto, Ontario, Canada","https://www.okta.com/company/careers/opportunity/7090737?gh_jid=7090737","⚠️ Stretch","Bellevue, Washington; Chicago, Illinois; Toronto, Ontario, Canada • ≤60d • GH"
"Okta","Senior. Manager, Pricing Strategy","Ecosystem/Partnerships","Bellevue, Washington; Chicago, Illinois; San Francisco, California","https://www.okta.com/company/careers/opportunity/7296966?gh_jid=7296966","⚠️ Stretch","Bellevue, Washington; Chicago, Illinois; San Francisco, California • ≤60d • GH"
"Okta","Senior Manager, Technology Partnerships, AI ","Ecosystem/Partnerships","NYC","https://www.okta.com/company/careers/opportunity/7077878?gh_jid=7077878","✅ Strong Fit","NYC • ≤60d • GH"
"Okta","Senior Product Marketing Specialist, OCI","Ecosystem/Partnerships","Bellevue, Washington; Chicago, Illinois; Toronto, Ontario, Canada","https://www.okta.com/company/careers/opportunity/6759130?gh_jid=6759130","⚠️ Stretch","Bellevue, Washington; Chicago, Illinois; Toronto, Ontario, Canada • ≤60d • GH"
"Okta","Senior Program Manager, AI Strategy for Customer Success","Ecosystem/Partnerships","Bellevue, Washington; San Francisco, California","https://www.okta.com/company/careers/opportunity/7295746?gh_jid=7295746","⚠️ Stretch","Bellevue, Washington; San Francisco, California • ≤60d • GH"
"Okta","Sr. Director of Partner Programs, Strategy & Operations","Ecosystem/Partnerships","San Francisco, California","https://www.okta.com/company/careers/opportunity/7302700?gh_jid=7302700","⚠️ Stretch","San Francisco, California • ≤60d • GH"
"Okta","Staff Product Marketing Manager, Auth0 Solutions","Ecosystem/Partnerships","Bellevue, Washington; Chicago, Illinois; Toronto, Ontario, Canada","https://www.okta.com/company/careers/opportunity/7134841?gh_jid=7134841","⚠️ Stretch","Bellevue, Washington; Chicago, Illinois; Toronto, Ontario, Canada • ≤60d • GH"
"Okta","Staff Product Marketing Manager, Infrastructure","Ecosystem/Partnerships","Bellevue, Washington; Chicago, Illinois; Toronto, Ontario, Canada","https://www.okta.com/company/careers/opportunity/7057787?gh_jid=7057787","⚠️ Stretch","Bellevue, Washington; Chicago, Illinois; Toronto, Ontario, Canada • ≤60d • GH"
"Okta","Staff Product Marketing Manager, Messaging Strategist","Ecosystem/Partnerships","Bellevue, Washington; Chicago, Illinois; Toronto, Ontario, Canada","https://www.okta.com/company/careers/opportunity/7274465?gh_jid=7274465","⚠️ Stretch","Bellevue, Washington; Chicago, Illinois; Toronto, Ontario, Canada • ≤60d • GH"
"Okta","Staff Product Marketing Manager, Solution Insights & Thought Leadership Strategy","Ecosystem/Partnerships","Bellevue, Washington; Chicago, Illinois; Toronto, Ontario, Canada","https://www.okta.com/company/careers/opportunity/7288424?gh_jid=7288424","⚠️ Stretch","Bellevue, Washington; Chicago, Illinois; Toronto, Ontario, Canada • ≤60d • GH"
